player,position,team,projected_points,avg_ppg_3yr,adp,adp_stdev,times_drafted,bye,ppg_trend,points_2025,games_2025,points_2024,games_2024,points_2023,games_2023
Josh Allen,QB,BUF,393.4,23.14,29.7,8.8,112,7,-0.31,364.6,16,379.0,16,392.6,17
Lamar Jackson,QB,BAL,342.6,20.15,55.6,6.7,99,13,-4.17,214.9,13,430.4,17,331.2,16
Jalen Hurts,QB,PHI,338.5,19.91,77.2,9.4,89,10,-2.17,301.1,16,315.1,15,356.8,17
Patrick Mahomes,QB,KC,322.8,18.99,102.9,12.2,78,5,2.86,285.2,14,282.5,16,280.2,16
Brock Purdy,QB,SF,320.7,18.86,88.5,11.0,24,8,1.23,177.4,9,266.9,15,295.6,16
Jahmyr Gibbs,RB,DET,317.3,18.67,1.5,0.7,185,6,4.91,328.4,17,336.9,17,216.1,15
Bo Nix,QB,DEN,309.6,18.21,110.4,15.4,61,10,17.93,304.8,17,316.7,17,0.0,0
Jayden Daniels,QB,WAS,308.9,18.17,72.4,8.7,35,7,16.33,114.3,7,355.8,17,0.0,0
Joe Burrow,QB,CIN,308.8,18.17,54.6,7.2,44,6,2.09,134.5,8,372.8,17,147.2,10
Jonathan Taylor,RB,IND,306.7,18.04,5.9,1.8,193,13,5.27,339.3,17,235.7,14,146.9,10
Bijan Robinson,RB,ATL,305.6,17.98,2.2,0.6,81,11,6.71,331.3,17,311.2,17,217.3,17
Jared Goff,QB,DET,304.7,17.92,97.6,12.9,62,6,0.47,297.1,17,324.0,17,289.1,17
Baker Mayfield,QB,TB,303.6,17.86,134.5,13.7,33,10,-0.13,271.9,17,365.8,17,274.1,17
Drake Maye,QB,NE,303.5,17.85,52.1,6.1,38,11,20.67,351.5,17,177.1,13,0.0,0
Christian McCaffrey,RB,SF,303.3,17.84,5.5,1.4,96,8,-0.86,365.6,17,40.3,4,357.8,16
Justin Herbert,QB,LAC,298.5,17.56,103.0,14.9,130,7,-0.04,286.9,16,285.4,17,233.7,13
Trevor Lawrence,QB,JAX,297.9,17.52,86.4,14.1,116,7,3.48,338.2,17,145.2,10,262.5,16
Matthew Stafford,QB,LA,297.1,17.48,72.7,7.1,46,11,4.4,350.4,17,214.6,16,243.1,15
Dak Prescott,QB,DAL,296.6,17.44,63.4,6.8,64,14,-1.71,313.8,17,116.5,8,342.8,17
Jaxson Dart,QB,NYG,293.3,17.26,125.9,11.6,75,8,17.26,241.6,14,0.0,0,0.0,0
Caleb Williams,QB,CHI,292.4,17.2,87.5,13.9,146,10,18.69,317.7,17,254.5,17,0.0,0
Puka Nacua,WR,LA,292.0,17.18,2.8,0.4,14,11,4.94,310.5,16,167.1,11,246.0,17
De'Von Achane,RB,MIA,286.3,16.84,10.5,2.6,62,6,1.97,289.3,16,260.9,17,177.2,11
Ja'Marr Chase,WR,CIN,284.2,16.72,3.9,1.0,196,6,2.4,251.1,16,339.5,17,212.7,16
Derrick Henry,RB,TEN,283.7,16.69,9.8,1.6,49,13,2.31,272.0,17,326.9,17,232.7,17
Kyler Murray,QB,ARI,283.1,16.66,129.1,13.0,49,6,-2.74,77.8,5,297.2,17,146.4,8
Jordan Love,QB,GB,274.8,16.16,142.5,12.6,41,11,-3.09,235.1,15,233.9,15,319.1,17
Saquon Barkley,RB,NYG,274.6,16.15,16.7,3.4,297,10,-1.12,213.8,16,338.8,16,202.7,14
Kyren Williams,RB,LA,269.4,15.85,29.7,4.0,104,11,-5.49,245.3,17,255.1,16,239.0,12
Amon-Ra St. Brown,WR,DET,267.0,15.71,7.9,1.6,137,6,-1.34,265.5,17,258.7,17,271.4,16
James Cook,RB,BUF,266.8,15.69,9.5,2.0,230,7,4.41,285.7,17,250.7,16,210.7,17
Joe Mixon,RB,CIN,260.5,15.32,,,,,-14.18,0.0,0,222.5,14,241.0,17
Justin Fields,QB,CHI,252.4,14.85,,,,,-1.86,142.7,9,119.1,10,230.2,13
C.J. Stroud,QB,HOU,252.1,14.83,161.0,7.4,8,8,-3.47,208.5,14,220.4,17,275.5,15
Daniel Jones,QB,NYG,251.6,14.8,160.3,9.3,13,13,7.93,226.4,13,135.3,10,57.0,6
Derek Carr,QB,NO,251.4,14.79,,,,,-14.18,0.0,0,150.9,10,241.1,17
Josh Jacobs,RB,LV,251.3,14.78,84.8,12.6,65,11,2.1,219.1,15,275.1,17,162.6,13
Cam Skattebo,RB,NYG,245.9,14.46,37.7,2.9,45,8,14.46,115.7,8,0.0,0,0.0,0
Tyler Shough,QB,NO,244.1,14.36,142.2,8.1,16,8,14.36,158.0,11,0.0,0,0.0,0
CeeDee Lamb,WR,DAL,243.2,14.31,12.1,2.1,84,14,-7.18,163.4,13,212.9,15,335.7,17
Jaxon Smith-Njigba,WR,SEA,237.6,13.98,5.9,1.2,76,11,10.71,300.4,17,203.0,17,118.3,17
Jeff Driskel,QB,CLE,237.0,13.94,,,,,-13.94,0.0,0,0.0,0,13.9,1
Rashee Rice,WR,KC,236.9,13.94,18.3,1.6,12,5,4.64,123.6,8,52.9,4,173.0,16
Tua Tagovailoa,QB,MIA,236.2,13.89,,,,,-4.42,160.7,14,181.6,11,270.4,17
Davante Adams,WR,LV,233.2,13.72,37.8,3.8,81,11,1.2,192.9,14,198.8,14,213.9,17
Joe Flacco,QB,CLE,233.2,13.72,,,,,-8.89,146.7,13,99.0,7,100.8,5
Nico Collins,WR,HOU,233.1,13.71,21.0,2.5,81,8,-1.98,190.7,15,176.6,12,220.4,15
Geno Smith,QB,SEA,230.0,13.53,,,,,-3.52,173.9,15,266.0,17,226.8,15
Easton Stick,QB,LAC,229.7,13.51,,,,,-13.51,0.0,0,0.0,0,67.6,5
Sam Darnold,QB,SF,227.0,13.35,152.7,9.0,23,11,11.51,235.4,17,308.0,17,23.4,10
Omarion Hampton,RB,LAC,226.1,13.3,22.5,4.1,286,7,13.3,119.7,9,0.0,0,0.0,0
Bryce Young,QB,CAR,222.5,13.09,,,,,3.85,218.0,16,195.0,14,156.4,16
A.J. Brown,WR,PHI,222.1,13.07,17.0,2.5,80,11,-1.83,181.3,15,183.4,13,236.6,17
Malik Nabers,WR,NYG,222.0,13.06,26.1,2.6,113,8,12.03,48.1,4,219.1,15,0.0,0
Drake London,WR,ATL,220.6,12.98,13.9,2.0,18,11,5.25,167.9,12,230.8,17,139.9,16
Tee Higgins,WR,CIN,218.4,12.84,35.1,4.0,70,6,2.42,182.1,15,185.6,12,116.6,12
Breece Hall,RB,NYJ,218.1,12.83,31.4,4.5,73,13,-3.0,189.7,16,212.4,16,252.5,17
Ashton Jeanty,RB,LV,217.6,12.8,23.1,3.8,86,13,12.8,217.6,17,0.0,0,0.0,0
Trey McBride,TE,ARI,216.6,12.74,42.8,8.6,129,14,6.58,252.9,17,188.3,16,141.0,17
Justin Jefferson,WR,MIN,216.1,12.71,13.1,2.7,127,6,-7.44,159.5,17,266.0,17,168.2,10
Chase Brown,RB,CIN,215.8,12.69,13.6,2.7,212,6,10.72,248.1,17,228.0,16,46.5,12
Bucky Irving,RB,TB,214.3,12.61,44.7,5.6,60,10,12.35,123.5,10,220.9,17,0.0,0
J.J. McCarthy,QB,MIN,213.1,12.54,,,,,12.54,125.4,10,0.0,0,0.0,0
Kirk Cousins,QB,MIN,212.4,12.49,,,,,-8.36,103.5,10,176.3,14,149.7,8
Marcus Mariota,QB,PHI,209.8,12.34,,,,,6.67,125.5,10,45.8,3,11.8,2
D'Andre Swift,RB,PHI,208.8,12.28,39.9,5.7,117,10,1.99,211.6,16,193.5,17,179.8,16
Russell Wilson,QB,DEN,208.1,12.24,,,,,-8.82,49.8,6,172.8,11,256.9,15
George Kittle,TE,SF,207.6,12.21,90.4,16.7,47,8,1.42,133.0,11,197.6,15,170.7,16
Jacoby Brissett,QB,WAS,207.1,12.18,172.1,6.2,13,14,4.82,227.4,14,45.2,7,22.9,2
Carson Wentz,QB,LA,207.0,12.17,,,,,-12.05,70.3,5,4.7,2,26.1,1
George Pickens,WR,PIT,206.9,12.17,19.9,2.8,51,14,4.01,245.4,17,134.9,14,177.3,17
Tyreek Hill,WR,MIA,206.7,12.16,,,,,-9.06,43.0,4,177.7,17,316.9,16
Deshaun Watson,QB,CLE,206.2,12.13,,,,,-14.47,0.0,0,76.7,7,86.8,6
Aaron Rodgers,QB,NYJ,205.9,12.11,,,,,14.16,226.6,16,256.6,17,0.0,1
James Conner,RB,ARI,205.6,12.09,,,,,-4.69,29.3,3,230.3,16,188.0,13
Brock Bowers,TE,LV,205.2,12.07,40.1,8.8,266,13,12.02,144.2,12,206.7,17,0.0,0
Kenneth Walker III,RB,SEA,204.6,12.04,20.3,3.6,312,5,-1.95,176.4,17,158.2,11,184.9,15
Travis Etienne,RB,JAX,202.0,11.88,36.7,3.8,97,8,-1.03,235.9,17,110.7,15,253.4,17
